reviewId,content,score
a3ebe518-50b2-4e59-af40-1a8100216a5b,"I can't use it, what happened to this app😾",1
6a42d17d-9998-4cb7-b416-d317a6be943a,Happy,5
9bacd1a6-d00f-4786-b297-cfb9c18f0ae8,Nice 👍,5
9ff32338-efff-4714-8025-c85ee87d88d3,Good one saves data,4
3f873d8d-12ea-4e8a-b4d6-bfa9bb6f644d,very good,5
6a8344c1-6f2e-4134-94ef-11a32294b600,Good app,5
e8ce4ae0-5fe8-4a66-9fee-411274c22d0a,Good,5
3cc4eb93-b26d-43cc-bf2c-943d236a363d,ممتاز,5
75af00d7-d265-40c5-89f4-ea6165c57b11,Hahahaakdog,4
d21a737c-5563-4499-8ca5-6c0232765ebe,🌟🌟🌟🌟🌟,5
3f5d51a2-ced1-42db-ae84-440eb56dc8aa,Love it,5
99250dd2-0c86-48e0-8771-9dcbc081fd20,شيى يفلس انظرو الئ انفسكم انتم في دائر لاتستطيعون خروج منها,5
5b2e556d-cf7d-4132-a455-b78587d209ce,Nice apps,5
637ce6a8-d0a7-46d7-9dcd-06a33c9fce2e,It's amazing,5
0e65be03-5071-41c7-8f76-b30000ba856c,Omol mii k,3
0ef3cf77-bf4b-44e5-82c8-29dd63ca1500,I don't know what I have done but they alwys disable me account,1
0bd33043-8eae-431b-b0aa-610bca90ce6a,Veyr good app But sometimes it doesn't open without internet please fix that l wanted to give it 5 stars but no l will just give it 4 stars,4
0d2f393b-e965-4cea-8284-180d28f5049b,Nice app,5
48504497-4cb9-4d3b-8af3-a2cb69740f8f,Nice,1
21efa433-a712-415d-a7b6-bd79635f9a54,Vfche a no f 747,5
db6bbb1f-400e-4bca-aa7a-aeeef2f68b49,Thanks you Facebook meta.,5
7e29d578-7d0d-4dec-917a-3ede4e5ef60b,SonuMALLiCk,4
e49f640d-edbd-4cd6-9cd3-43453d1b86ca,this app is help me to contact my parent's and siblings,5
accfaeb6-7ee5-4ace-991e-7c4fbd77f644,Messngr not responding,1
5ac6aad1-b3ad-42f8-acc7-b77bae7c610d,hehehrhr muahhh,5
d59fe49a-3729-41c4-ac9c-fa5ae986823b,Oo,5
4da9254a-9115-4929-827e-a6617e28e866,Great,5
b5ca37a6-fcba-43cc-a8d5-c10d85534088,Sobrang ganda Kaya I try na,5
80843614-e40a-401b-8cd8-5e7f76029ffa,what's going on with this app it's good but two days now this app is misbehaving loading slow to open my account,5
80f6e795-0fcc-4eb1-84bf-0d4ed9ab298c,Super,5
3b61a48d-0818-4742-9b0d-eee484a49bfe,"I can't open my messages ayyy suka I'll deleting facebook ,😠",1
885a5014-f86a-46a0-a49c-6955d5d7ac2c,Joss 😎🤘,5
d1f0cc61-043c-4690-973c-224a8a4e6466,"positive and very beautiful energetic,Thanks for giving me apportunity for shareing views.",5
a330d65f-5a9a-4438-aefe-45fb93f4504b,Very nice,5
6f2a1650-1f19-4869-aa79-e63eb7a53f80,My facebooklite keeps disapearing from my phone,1
f6c2d59d-72ed-4071-bf16-75c082d2991b,Fine work.pl.show latest audio/video.,3
05896b40-4fdb-4bb1-badf-a17572f87916,But it is good and bad,5
f7573603-9045-426e-991b-de8f6956f444,Best app speed,3
64d47ca7-c295-40f8-ab7d-2ba32d35584a,"I do like these app cuz it's not lagging, wozerssss big help on my broken phone♡",5
f49b35fe-317b-4c95-8038-10429e5a78bf,Love it,5
0f078b51-a5a6-43ed-9360-a16e10e713ec,Lql,2
2e554baa-9f2d-4e71-afd2-60e876578c02,Videos,4
6715a50c-5bef-4b3b-8739-ced9cf08b36a,Pradip chu,4
23983eef-66b3-4a0b-8be5-36d034ac12ca,It's a good app,4
5675f0ad-dd0b-48c2-b74b-7f89d0b1a9f3,Nixe,5
af003792-c547-4f36-94e4-411f5319d37e,My fav. App,5
db67fa09-b8d2-4288-9f2d-6353e16f9fe1,"I can't send messages for my friends And if i did, they'll show me that temporary block, Please mark do something about it.... Thanks 🙏🙏🙏",5
32fb3b45-0c6d-4ac7-9ed1-8063bce61f6a,its good,5
ac1dd072-98d0-45e0-bdb6-41c9175c4a3d,Great app,4
9d38a4da-93f2-4185-adf7-5ddac9b8a5f5,Very good,5
70671191-87d4-43b2-bb4d-a6292b3b2665,Good,5
d41fd1e8-0748-4857-a3fc-6bcc116683e8,Did not opening face book.,1
28d8a1b5-434f-4c2d-953c-765284206355,nice app,5
fd82e90e-664c-482c-8769-54e7bfe8e64a,Nice,5
68f40e8e-be8b-45e4-a574-ac0f5797f20c,Nice,5
39ee4626-c413-4cda-b7ca-62e9287e890d,Nice app,5
77033bf2-a92e-457e-99b2-c6091680bb08,Easy to use to get people you know,5
cd5fc0a6-1680-4206-956b-df098a5b1b63,K.B.Venkatesh,1
49788086-5ee1-4812-998a-82dce40a448e,Very good,3
cbac4b29-c200-402a-80f5-bdb458f0d2f6,It's nice,3
d89ae20a-b325-4953-b658-699d71cf2b58,"Everytime I go through a page, everything goes blank and stays that way until I exit the page. I've updated and updated the app. I've uninstalled and reinstalled, it's still the same. 😡",1
2b0b1bf0-f6f0-4c06-8020-fa8687b19eee,Yes it's OK,4
42566801-6aec-45ee-bf61-d366e24c9cdc,Nice,1
18a69b34-0959-4eeb-8c2b-fa109c2c0b8e,Good,5
da5951f6-7015-41a0-82ee-05b920faab74,Tajol,1
f5edf79f-f783-4f34-bf7e-47578cb89630,Nice,1
3d757d23-b3d1-4921-b9e3-485472a94a67,Babugazi,5
11675db4-27f6-4531-b312-7890d810d191,Terrific and very good,5
99860cf1-20e4-4735-8126-a6d7780f91b0,Good,5
