reviewId,content,score
4b9eda1a-839a-4815-88de-7f6badc0af0b,better for communication,5
c9e6ee2c-d414-46e0-ae62-291c4991f766,Good great,5
a1eef9ed-d8e8-4edb-9e66-5faa841e9365,Good service,5
8907f6e2-c037-4a0c-8ffd-6d5220fa9f35,good,5
5c9dc258-f880-4586-a0f0-38711016b403,good,5
89ef132d-9b24-4aa0-9f31-c54f3da1257b,This used to be a really nice app to use to contact my family and friends but recently the app often hangs and I can't switch back to my other account because it would not open.,3
461f9448-9d7d-4a7e-907c-9f6f6997d094,"there are so many bugs happening in this app i can open the chat head and pics and sometimes i can't log in and saying "" session expired"" pls fix this",2
95b45056-8ca4-409d-b7d1-8671aad51c0e,pls let me in,5
8e73da39-3148-4543-8081-b61032b0e2ac,Lately (like a year) it has been so buggy and getting worse overtime and they don't seem to care. i've been thinking about changing app but i feel sad about all my history here😔,2
8763ceb5-ece5-4fd0-a03a-f2e73ebf5ff8,একবারে ফালতু app সারা দিনে একটা মেসেজ কল আসে না😐,1
2de0d059-1175-49ea-a8bd-f74e3aee4343,"No notifications, all settings are turned on. Very frustrating.",1
a89ec768-1e9e-419b-abe0-a3c2a36abcb9,it deserves 0 star it keep crashing since 2 months ago,1
c88ee3f1-940a-44e3-903f-24931f59b71a,Nice app,5
8db2fdd9-0b69-4bcb-b574-6167d298fef0,Can't access,1
596c924e-c9e9-478a-9030-2e993b036d3f,10 đỉm,5
6e5fee8a-f6a6-4270-9493-61117797af81,Opp app☺️☺️☺️☺️☺️,5
fd138f7c-7229-481b-b9df-02f975ed4936,Mag chat headnmn,5
412aeb82-e831-45f5-88f3-a1aade2e8d66,Nice app,1
8cced54e-c804-4644-8cec-e8d2f72bb2b5,It's is not good presently,2
5a31a975-ea82-4a31-83f3-a0329655519e,okay ah,4
0c06dafa-a0b7-44db-aca9-b1a815e70a5f,Exclnt,5
ef2aca33-6251-49b9-a155-35b06cbcd097,sucks,1
b7b67ef1-c35a-4328-94e5-56a427125581,super,5
6012cdd8-b443-4dc7-8342-37179e8b4cfc,Keeps giving something went wrong error when switching accounts. Absolute hot garbage.,1
dab4a671-59d7-45fb-a1c5-85f99e2b013a,My red messenger light has been on for 2 weeks and there are no new messages.,1
e7c4aa8c-5ebd-4464-9ff8-412c6bc1418c,Please provide us to use our own background wallpaper,4
fdc9918d-e2be-4318-9f20-687b138924c4,I can't log in my other account its keeps saying sorry something went wrong please try again pls help,4
c96165c9-99e6-482c-8aee-30cbf24d8b54,The app is to low responds cause i cant send a message to anyone,1
887f4edc-c0ea-49e1-b6f2-ac6ce8070a51,Ok po,5
4070c036-5ad1-486c-ada9-74ec383f978c,Please I want updated messenger,4
247457ad-3b6f-4fa1-a082-a980202152ec,I love you,1
5a3f07bd-d718-4646-a0e5-c73ad7331dcc,Best,5
927c38ce-6331-404b-8f40-b2aad4c93b36,B.m,5
6b8b94e0-f17d-492c-a252-5bd666170dda,👍,4
4fb10e49-eedb-4404-b0fa-85d2b8a1e086,Its cool,5
8d826789-d363-435c-ae97-17c910512ceb,Best Software Quality Testing 💯,3
866e1e05-bfce-4774-ad37-769befd747a8,"works fine, but the experience switching between accounts is just dismal",2
3f672dca-2bc5-4bb8-9777-87a55b2b33dc,Very useful,5
f2e215ce-7355-4a8c-8f36-3a1c7e5737cf,Rodelio,1
99dcc80d-c62e-402f-9617-ba0530e565ba,Beauty full,1
76758d1e-7b7b-4311-9419-c2da021de405,Wala lang.,5
700665b8-19a5-43c3-8dc7-f5b6290779ff,Work get,5
eb1b5429-8d2f-4968-88f7-be7b36f84160,zkos,1
507895fc-0748-4e2c-99a2-161c05569c46,Nice,5
13fb3786-f37f-43f0-b9e3-dea5eaf2ddec,Good,5
9c05ca45-8f75-46d5-9656-8d5a881fff80,This app keeps reloading when I ever download/install it. It get days to reload and I hate it so much.,2
6fe12ad2-848a-4296-89d8-1f8fcd7883e0,Good,4
15051de7-b8f1-4431-ac56-663d92eba2d0,Hi so sorry for ur to the kya ye to,4
96da8036-1a64-44a3-b3d6-584e3398d066,Wow this is interesting,5
a6ada341-eda7-416c-a8db-828a877dc63e,Pathetic.... Changing from one id to other makes it dead,1
462d50ec-fc57-4655-bc21-36fa46d3eb3b,Why my message on messenger is Unable to send please help me to fix this problem,5
db113ffb-019f-421f-b1f5-a964f59f275c,Messenger is always best application ❤️,5
902d4f7f-78c6-42e6-b48f-e76af90df26a,It was good at first but for quite some time it doesn't notify me anymore I sometimes get trouble with this because when someone calls i don't receive or even see it even tho I'm using my phone or even chats pls do something abt this,3
981662ae-c5c9-45b4-a40e-75bec84377ee,Very nice,5
802e88e5-d7d7-4094-b042-0bb309919e41,"I have nothing to say, but this app is cool",4
e2b79f66-7fe3-4d2d-ac8a-b6210fdc254a,It's irritating that my messages did not just send a lot of there's a lot important messages that I can't respond because of this bug please fix it,1
c9107501-6ad2-4acd-8297-9a369a98f197,Too low the network,1
180b7032-8695-4534-b275-2baac5792d0d,messages in chat head don't appear,3
9e13c9fe-40ff-4a6f-8a70-854044fd31e1,When i log out my second account and i log in my first account its so difficult to switch coz so very slow to switch to my account help me to fix it,2
6718f0bc-a5ac-4c92-83b7-bd4bd7e49a1e,Bad,1
6a06933d-1f17-4edd-9600-56f4c07ccf64,Sen-bloody-sational..,5
aed7ccd6-d68b-4e1c-95d0-a4987a0711db,It does not open at all...,1
ed262111-f49f-438b-ae14-8b2ecd440a0d,I can't chat my family every time,5
ba2d6d80-78f7-4c2c-9e99-0e1da2094dbd,Not fast very poor,1
023fd2ab-3995-4073-9006-4f6cc2bcda94,"Nice, nice hahahahahha",5
a4faaab5-fa16-4385-9cfe-8825da414406,A great level app,5
51265e85-8bbf-44bc-84da-9f862813bd0b,Suresh kumar SURESH kumar,5
6345ae3c-a670-4183-94fa-50a3e4fb4f39,New updation is very slow,1
be3007cc-4917-4142-99a4-d561b55c5e52,This application is very useful I'm satisfied from it.,5
2439c520-d72c-41e0-b795-0982bf1e3b2d,Sobrang toxic na okay signal ko bilog pa din,1
85c12215-d4cc-47db-97b0-213875983219,I love it now,1
efc31f3c-e42b-405f-bbaa-7fa3d124e0a3,I hate this app dont recomend it,1
11bd830a-3029-45f5-9de6-d30be8b447f5,"It had a lot of glitches and i can't open it anymore,FIX IT",1
1a207fb8-9881-4ce2-998f-2454576b9009,Cant instal it.,5
d5d966c4-fdfb-415e-964e-e09c02c063c7,It works for me,1
5ff672d5-5021-4feb-ac2e-d6b8410fe663,home,1
0cf0474e-4627-4271-b91e-c2acd0c26f4f,So nice 👍,5
c35f38c0-ce3c-41c4-ab9a-96eedddb6bdc,Excellent application,5
f25e1d46-511f-420f-b07d-07bce23bb901,Awesome,5
4c5c606a-0872-480f-bea1-9bd425a4a385,D Gd,5
023f05c6-9dc4-418d-b277-1b78113c627e,Wonderful and beautiful,2
825071bd-5e3e-4a12-a78f-4940b568d7a5,Nc,5
37b65fc8-9c2d-43cc-bea2-4fbdb2513817,"Have to uninstall & reinstall 5 times this week due to ""connecting to network"" problem while I'm sure my network was working fine (I can watch YouTube & browsing webs smoothly on the same network while the Messenger keep trying to ""connect to (that same) network"". SO ANNOYING!",1
522d85f2-fbb6-4077-b796-d4fca5b98b88,Good,5
39fb9fe4-d37f-40da-a6f1-a752b59d771a,WORST APP EVER!!!!!!!!!!!!!!!!!!!!!!,1
637d02b1-45b5-47d1-82c9-ed3a97bdeb57,Chue Lat,5
f3bc95b6-3b8e-4402-89e4-2cce9aa13d39,Good 👍,5
4d4e9c2a-1bd0-4cd7-84a0-8b2d8999cbff,Nice,5
183957c9-8256-4906-a01e-ef6db1a0a057,i can't log in my account. It's too loading..,3
e6468c87-cab5-4169-897a-4d19a430f925,👻,3
5ab8951b-42a6-432e-8d42-88f10215e4f2,Very nice,5
39a31830-1006-4159-a78c-2f8a8db1ef98,It sucks!!! It's horrible!!! All of a sudden it blocked all of my messenger..i can't reply to any of my messages,1
da0f827c-f716-4210-a524-0ab4eb705fbf,Good,5
adc1357b-1eb0-43a2-ba98-5e3b6805d82f,Good app,5
e7ea4f5d-80fd-4158-be4f-b7f725d939f8,I love dis aaps i watch a hub,4
0c6bf261-7778-476f-a2f7-aca9572ef0be,Really good,5
438fd0af-1647-4a1b-8ed7-9c8f26690a58,Ok,5
b027b676-7b3e-4c5f-a5a0-edae3472c381,Mast,5
50b5bfb5-f81c-41e0-b06f-48a343e4b7a3,Fast,5
d23fe303-0978-4973-bc25-24457d62c2bc,Lagging all the time,1
567565c6-4c35-46bd-a2bc-5cb607277c43,"I, love the app and is very good",5
6ee6d1c8-c149-4bc6-bf62-c6ad850c65a6,Nice,5
829309b4-5af5-48ee-b9b8-f3514c3dcacc,Very helpful apps when it comes chatting with family and friend..,5
498bac71-2caa-449c-b6a2-e11f56f74234,Very good,4
5aaca5a4-ae31-48c5-81e4-cd90df30c8a2,Ang pangit pag naka dark mode yung theme ng chat Di nakadisplay nakablack Lang ang background or halimbawa heart plain color Lang background ang pangit Hindi tulad dati,1
50e13669-8757-46ff-87c8-aac35aa73add,"the new update is complicated to use, I like the previous update",4
ec8ee0b9-68bc-4222-ac80-9dfff9c86923,Zoom kobe dibi tora,1
297ebc63-8b23-44ba-8dfc-22c74de7c553,Dear messenger team My messenger is not opening Please solve this problem,1
e1df64e6-a524-49b0-af1d-fb6189c6e50c,App,5
