reviewId,content,score
100a5f1c-8533-4c42-9ab0-e5bb754e3c50,Omnmm,5
c4409446-01fa-4757-8c5e-8e119b1aa3e4,I have line but day send me message but I can't receive back,5
78d21de3-437b-4df2-a4f2-069c5a153686,so many bugssss,1
44b6db48-ca20-4435-a694-3b5b5f31d492,I cant add anyone people cant find me what is this aap even for then worst app ever,1
40c86309-be89-4089-971b-6b1235af866b,So good app,4
d6850f69-f78a-4dc7-a3f2-251c0a8b1ab5,"Since I live in Japan I am forced to use it, but Line is the exact example of how a messaging app doesn't have to be. A behemoth app, slow, battery hungry, and with tons of feature unnecessary. Messages come late. Notifications come late. Calls and video calls work, but they consume battery like crazy. Social features are completely useless and they can't be disabled. Chats have to be deleted one by one. Multiple selection isn't possible. What else? Terrible.",1
3a37814a-286a-4b6c-9c43-bad8f3c718fe,Can't take screenshot in the movie ticket app? so dumb! 😓 Notification don't appear in conversation and don't have preview of the content? it just says we have a new message 😅 Needs English translation for offers,1
a31983a2-51b8-4f0f-bd2a-d13c390f575f,More slow than when i used it in 2009. Update: YOUR APPS IS SUCKS 🖕 I can't log in,1
06df253a-9b4d-4fb4-abad-25091aeaa977,"Current update have bug, whenever I open the app, it will automatically open Lazada app, yet is not unsolved yet after so long? 2nd: Can't attach picture as indicated corrupted pic but other smiliar app can use as normal expect Line. Getting from bad to worse after update. Samsung S21 Ultra user",1
5569c4a7-1af0-4b7f-bb4e-ca0ab5a6f1ea,"Now, I can't see and download pictures.",1
58fa326a-9fa5-462a-9ab6-d46d8eb58882,Please reduce application size. It's too big that I want to stop using it.,3
f6e8a4c7-77b9-42a8-8af3-ca561382a113,social,5
d8b90f5e-dfb9-4cda-8be7-52d1ba1d0cee,Sorry I can't not getting any lineopenchat 🐶 so I give two only star,2
f735e0bf-1b52-4872-a0fe-40a2da4532d0,แอพนี้ Update เวอร์ชั่นไม่คำนึงถึงผู้ใช้งานระบบ Android เวอร์ชั่นเก่าเลย แย่มาก,1
dbb3bf1f-5c37-44db-86b9-b6f13c99108c,มันเป็นอะไรทำไมวันนี้ส่งรูปไม่ไป หรือเฉพาะมือถือ Samsung หรอ ช่วยแก้ไขปัญหาทีพอดีใช้ไลน์ส่งงาน,1
eca944a8-0629-4778-b103-ae36bccedfef,Good,5
ae1e8446-8ae9-4bc4-9a0e-6b534a4b718e,Ok,5
0207d4eb-025a-44c2-80ea-34083aae6651,Getting worse. Can hear the notification but no message? It will come but much later.,2
c7690ad3-95a6-4f77-8256-498b20d57bf3,Please fix. Cant send photo. Sometimes late recieve the message.,1
0882739d-633f-4a59-bd70-1a37f6fdeb33,Kenapa sekarang line jadi lemot bgt ya? Ada notif tp pas buka appnya ga ada chat baru. Tunggu 5-10 menit baru muncul😔,2
430cd820-9153-4eb0-8cf4-12c185aa08e8,Notifications are spotty but I feel like call quality is better on here than my other similar apps for talking to international friends. At some point recently when I try to change my photo or share a photo in the chat it no longer opens my photo gallery to choose from. It only gives me 3 old pics I had saved from a chat. I figured out how to get into the gallery from there so it's still doable but wondering why it doesn't default there anymore.,2
bd1366ab-51d9-4de5-b848-5c95eed5f1e2,Cannot update,1
3c0779fd-317a-4003-9364-d1b13a58d1c9,There's always got notification on chat but the chat is just blank..,1
bc5970df-449c-4ba9-95db-6426ea8c39c5,This is to good . I think every one should enjoy,5
cde528a7-3507-4150-ba73-3a215b554c07,This app is so full of bugs. I am getting 999+ notifications when I'm on a call. What is this??,1
ee87e061-5b27-4e33-accf-6e4a7a014c51,Your new Feature @All so annonying even i already muted the group it stil pinging with @All I change my review star now bad Choice line doing 👎,1
6ff881c2-6822-4bac-8c99-4213d1ddca84,Good luck getting help from them with any issues,1
65c84b62-c00b-46bb-8b1b-a9682b7b3b19,I lost all my chatmate..!! In that's is a super sh**..!!,1
b1dd1696-01b4-4764-9af7-2ae2abf960ed,"I dissapointed to this app, because when i reinstall my friend disappear one by one",1
d7b08a05-7580-4571-bdfb-7d5d664d7803,ฮุคคุย เมื่อก่อนอ่านข่าวเด้งแอปชอปปิ้ง เด๋วนี้เด้งแอปกู้เงิน คัดๆหน่อยไอ้ฮุคคุย,1
da75f11d-e898-40ec-acb5-0d041b04e488,"Is something wrong with this app? I can't seem to see my friends recent messages and when I delete certain chat, it still comes back. Like huh??",5
f9494c1a-b716-4e25-a9ce-4e78beb7c7d1,彷彿人在電視5熬過不4惡化5但他剛剛剛好6,4
ead55e24-4ac2-43cf-890a-a7a15c5ede3d,I cant display the message some one send to me until i restart my phone,2
222374a8-3bef-4351-b150-405f742c77eb,"I have NO new messages since October and I have the latest update installed. This problem has put me behind on group work and needed communication. This is also happening with person to person chats, not just group chats. Extremely frustrating!",1
ba8322db-a84e-4ce4-9963-256d60180a46,cl,3
f8d4181e-8f0c-42e2-8c4f-fceabfa0c9d5,I cant change my profile picture. Delayed chat etc,1
61b5c066-b5b1-47f1-a09e-2c522c40ff9a,I receive messages hours after they've been sent. What's going on,1
b00db26d-7181-4933-84d3-94737a492bff,บัคเยอะแก้หน่อยครับ,1
c20f2a64-18a4-46dc-9cbb-5f3fc78ee56d,I can't attach photo on Android 13 not working,1
1cd571d5-67c4-4f1d-ab04-e91c3d653c52,It'd be great if the new messages actually displayed when I click the notification..,2
f2a0b0a4-01c0-4b2c-b669-3f23d2a213a2,I don't understand why playstore granted these typ applications.....such a worst experience..,1
7ae9d3ce-cf3f-4383-9f51-d16d41f686f8,Ok,5
966e8663-97da-4a20-b083-c024879bfbf7,"Android user, use to communicate with family overseas. Has been working well for years. All of a sudden, it is not functioning. It ""ticks"" when opened, can't message, can't answer calls. Very frustrating.",1
31a09aab-ed95-4b41-a017-54d359224865,Very bad app,1
78bbea84-7588-4812-a045-b613f536a7d2,"Adding people: an unexpected error occurred please try again. Error stayed, no online answers. Uninstalled and reinstalled, at login: login with number, sends verification code, then right after notify me: verification temporarily blocked, wait 60 DAYS and try again. 😆 Get lost",1
6a30578c-f7f7-4b72-b1e1-32621f8120dc,Bad experience.,3
de428749-abc3-469e-9a2c-a2bf6fcc8ced,good,5
aeca5155-36c9-4e07-bdeb-504e33762146,I can add friends with there ID why,3
066c0a17-223f-481f-9515-607c8634871f,Wow,5
2ab5bee9-a974-4392-8d65-fe04011c7e0a,"So frustrating, I'm unable to add. I'm even unable to search any individual. I'm unable to join groups. I don't receive important notifications, possibly the worst possible app here",1
2972a8d8-3c2f-486b-a130-4ae554959f80,Qr code transfer doesn't work. It's always a pain to transfer account!,1
ebea9c7e-4418-4940-b61d-dd63b2364111,我一直迟收到信息，是系统有问题吗？,3
644b0b2e-c7bd-4ed0-9ef7-750df5ef76dd,"The app quality is going down terribly recently. No message and call notification, poor call quality.",1
36cc9ab8-fdac-4569-b9e2-16a2e1b006f7,"The app itself is fine but I keep getting the same ad for bikini waxes along the top of my chat page. Every single time I see it I report it but it's still the only ad I ever get. Why?? I'm not even searching for bikini wax salons right now, it's the middle of November!",4
e7bed83f-a391-493c-beb6-03b748bf6469,Too good,4
167057a5-f38c-4b89-aea9-34b4902408ed,ฟ..งง!10+,2
39b2cb71-5f0f-4624-bd84-0f336fd009e9,Update made the sound on calls very low. With speaker on or off it is very hard to hear. Please fix. It worked before. What happened?,1
baf3cef1-362d-49e8-87d8-a748ad19537c,Umw,5
92a555bd-467f-407b-8559-06c9f5578bad,Like,5
e19b276f-d761-449a-870b-c63afeb75445,"One of the worst major messaging app. Only one device allowed so losing your phone can mean losing your account. Media often lags or fail to load, and will disappear after some time. Chats are also laggy, with poor error handling. Navigation is also a hot mess, plus there's a lot of bloat.",2
5330a57f-0c79-47cc-bcab-f91505b70c12,.🏧🚮,5
4da1565d-ddc9-4f7e-b932-cfcc22bf552a,I received notification but unable to see the messages. It is super annoying.,1
f41cc831-8779-4825-b8ad-48b1f6853381,Nice app,5
90b0175a-4e2d-43f1-bc38-3717f49ace6f,Cannot make call on my new phone. WOW,1
7f4c9f98-330f-4465-99c1-dc3d65135d52,For some reason the app doesn't let me read my messages,3
9257055d-324b-4075-b2ad-6670f16918a6,"With latest update, this app no longer has access to images. No way to turn it back on either. S22+",1
d69967b8-3275-45fa-a749-66d4b02d0b83,Can't get app to send Email to my account so I can reset my forgotten password on new phone. Terrible.,1
ac4f64fb-43fe-4618-bb4f-a369ba35d7fd,Suddenly chat stops working and I cannot read the messages despite it popped up on my notification window.,1
209e0b8a-08f5-445b-bb30-fae4eba5bd08,"Dear line team, Please help me too login.i am unable to login because of I forgot my password and reset link is not come to email Please help asap",5
ea719635-3d28-4589-bad5-bf3e2b45a976,Ok,5
c0b84867-a7be-4c57-99c9-127ad684c71e,Totally outrages. Chat deleted reappear again.. While some other chat are missing,1
9c4bbbf4-e116-4cd3-8c2a-523af0414b9c,It's very good🥰🥰🥰,5
87e61657-365e-4589-9074-1de2ac14796f,Keeps crashing after deleting old messages and it starts flashing old chats then crashes,1
022fe443-4a37-4bae-8ab3-559734c121d1,Been using line from past 4 years. Day by day it's getting laggy and laggy even i own 6 gb of Ram. Still too laggy,2
e7f43fea-ca1d-4c50-a150-7c26fc3273b8,"I'm new in this app and I encounter some major problem. My friends joined me in the Group Chat and whenever I send a message they can't see it or receive. But in my line application, I can see their messages but they can't see my messages. Please help me with this matter. I need to communicate with them through this application and also for my work.",1
e27ff426-367b-4f70-94df-71485414ed71,Good,5
f6809298-a564-45dd-8010-2c63c83e65c7,- Notification not showing when there is no message. - Notification randomly showing when there is no message - New messages not showing up - When login to PC it requires us to insert pin for verification but not telling us where to input the pin not if there is any pop out about it - Too many features that are just left unused and only complicate everything,1
0c6ec5aa-938e-41fb-9b47-b9cb052abbe1,babu828,1
c865214e-aafa-4e37-b456-315d821fb564,can developer made this app for tab android user please,5
38e82b89-3be8-4e6e-a487-624d528f30b1,Good,5
20642558-4484-4662-8e07-0a091debc1ba,音なるのにメッセージきてないなんで 改善求む,1
d061b25e-3bca-49a8-9867-929fe0e8c231,When I restored my chats using Google drive it only restored my texts no images or no videos... I'm so disappointed,2
e9a16060-eaf1-41d0-bcc1-e460d880280b,Ok,5
aa77ff55-a9d0-4105-85bf-9f58216ebf21,Messages didnt go through fix or i uninstall lmao,1
cf0285eb-cf83-449e-bb16-2825c921e94e,Cpt mknya anjg,5
352e438d-d79a-4341-a3dd-5f57e39cc2ec,Ok,5
7a3ae632-af72-422a-b136-3f94b87b124d,Bring back all the filters pleaseeeeee,3
966db559-12f3-47e4-a15e-4e4a8ac2132b,Wanted 2nd line for apps and sms verifications. Doesn't provide,2
35fcd4a4-5fa6-486e-b9a3-0d86777292a3,Notifications don't show up sometimes,1
78420520-fd90-46a6-a292-a6bde59e2fa1,Que recuerdos tristes y felices me trae está app,5
b550f5bc-0e69-475b-84ed-e82ac2c70508,廣告影響體驗…,1
33aff9ca-09d7-4500-bbd9-adaecbed846f,ผหห-ภดฆไป ป(้cfczzxaqzdAฆฉ,5
8af91a2c-f285-47cf-b656-21e8497e602c,Haven't been able to use since last update. Please fix... I miss my friends 😭😭,1
66b28f73-ef9c-478f-a643-864a36c7ecb8,sticker section not opening... blank page only... sucks...,1
