reviewId,content,score
6aa81db9-0ab6-4e13-b948-c6ac0a115130,Nonsense,1
cc7509db-8b71-4e46-b088-5f10022d9985,This app is helpful,5
1269e267-b7ea-4a33-91ac-300914851b86,Good luck,5
aa6c4940-c08e-43bd-be17-f114bc71b5e9,I like it,1
eacd33bf-b6f5-445e-bf57-10cebb2f76bb,God app,1
cefa639b-7f29-4722-8b0b-ced8a61730a7,Extremely Slow App,1
a30b903f-d84e-4427-94ba-e4f2b05f1eb8,"Loved this app. Skype was so great. Since Skype was acquired by Microsoft, it is so much heavier. It takes longer to move around the app because it's so heavy. You should have a high-end phone in order to use it.",1
aff2ed88-90da-4307-818b-b4b6e8256a0f,The picture profile setup page seems to be stuck in an infinite loop of maximising and minimising. Could not finish setting up and therefore couldn't use.,1
09013eee-f668-4eac-839c-6c1088ed09b5,Wizzy legal,5
5f108035-a474-4ddf-ad82-36c8d77c3afa,Still a great app. But maybe they need combine it with Teams.,5
86fbc198-550c-4e95-a99d-4da0eaa7cfd9,My contact list shows people from 5 years ago. I've turned on sync in the settings but the contacts don't sync. There is no way to reach customer service. This app really sucks. I don't understand why this should be so difficult.,1
8a770605-c4c0-4c31-9be1-d14f0807850e,I don't know why developers aren't paying attention to Skype's serious problems. I wasnt able to send one single message through the app using mobile data. I kept changing between 3G and 4G networks and I keep updating the app and searching for solutions here and there yet nothing changes. Why can't you build it in a different better way? Why can't you make it like the so many properly working chatting apps? I hope a solution can be found in the next update where skype works fine on mobile data,1
9adbb06f-e466-41d2-ac48-4389edde2277,I have tap up my account more than 30 days ago they didn't charge my account they said I should have purchased directly from skype or Microsoft. So I requested my refund from Google play they refused to refund it. Now I don't have the money in skype and they don't refund my question is where is my money then!,1
8433181e-36f9-42f0-a79f-37fba020993d,Seriously this app should be named as prevent wife from calling app. Every time I call it does not get connected.,1
4d88f784-c488-445c-a258-628889a742ed,"This app is too slow on android. Phone doesn't work when a call is coming, or hangs down. Please upgrade this app and try to increase its efficiency. Thanks",2
a6a941d7-43cd-454a-9f69-a78d2a6ae61f,I want to give it 5 star but its not working properly now and and its very slow and its not working at pc,1
847a2712-9b8f-43d2-8087-3093e157acbb,After updating Skype often refuses to recognize me. Takes too much time to connect.,4
7f6b0512-35cc-424c-b83d-60965a8e2b47,high erorr apps,1
91bcfe9e-bcf6-4c79-9310-51395438e371,Very good,5
43e7f367-1f94-41ff-bce1-f8265956511b,Very nice,5
0687c0e3-eb67-423f-ae2a-07870381f9a7,A lot of bugs on my Pixel phone. The app gets bugged when you escape and open the app again while having a video call. Video cannot be loaded and Skype app cannot be opened. Only force close can solve the issue meaning hanging up the call.,1
172e5df7-387f-471e-a8d4-743688715020,😊,5
bd4a0bef-c8d9-4fb7-8c44-295a31a0ef1f,"Generally serviceable, occasionally there are drop-outs and disconnects, largely due to weather and atmospheric conditions. Overall: both Reliable and Welcome. Uyraell, NZ.",4
68ea6c16-23df-4ad8-879f-09603a01812f,Nice,5
6bf08e98-9f2f-41f2-b416-02504a69f8f4,Good,4
d836738e-43ef-4c42-9297-561540e96eda,Easy to chat Here,5
2afbcab6-6a38-4fc8-8822-443f214b52f2,Slow and sluggish,1
88863550-9bd7-4e73-a995-306b8a3d45e4,Awesome,5
8d4ab2f0-4ed2-46fb-93b0-8642f5990d0e,Great offer,5
d5677ad4-e0ea-4bfd-a3ad-9400d5a28bbe,Best,5
aa7f3312-d58d-4573-af16-4245e9249a0f,"L. .,, .... operate the machine and I am not t CV bbftoxfbxtkxpkv bbf all",3
d8a7774c-6aca-4c06-845e-5578169f86f8,Skype it is good,1
9989a9da-ee9a-4960-959b-7803f3e8026c,Not really good it's some time hungs or proceed slowly.,1
101c0f2b-9d38-4afe-ba13-953a1ae6397e,Flower emoticons not accessible,1
858b153b-4dad-48fc-9b6f-b20752a41ce8,"This app is so frustrating this it to say that I can even use to do what I want to do .Am so anxious about this app I don't feel comfortable for this app. I have been using some different apps apart from this, they work effectively than this Please the owner of this app please update or bring a new method of using this again please am pleading right now",3
d308d133-0782-45f1-9120-e31ab21e2c2b,Nice app,5
7e9c9acb-6af7-4376-b861-a6700215bd80,Won't let me sign in with my phone # or my email.,1
6f4cc744-38c2-40f8-b222-23e239bfb682,Buisenss,5
b5fc87d6-d255-4502-8f2b-6b0855989f66,helps alot,5
3bc43ab1-8de0-4793-92e1-7e522dd6aa59,Very bad .,1
eb854a6c-2298-43d8-909a-3b9048245f20,Just getting worse since Microsoft took over. Its been years now and Skype is just going down side. Unable to open app many times in Android 13.,1
a43c852b-812b-40d9-b905-e2a2790cae83,Unique,5
7d0c4028-4029-4f69-850b-7d59c3178e27,Please code jaldi bajha Keren,3
5560c75c-6713-4886-8393-a250132a4c03,Not good,3
fc58dd2d-449f-4098-a082-37aacb96a542,Good,5
98b5f7eb-ea15-4250-bd68-56f8eb515c0e,Ypurew ok piy3w1qawgup Xx Saaf be l me I'm on,2
fe2c35eb-5fdb-435b-8eab-324a77e4cb25,Good app,5
58158b3f-0218-472d-ada8-2901c7141ac0,My experience is very good,1
