reviewId,content,score
7ddbe73d-1c2b-450f-b711-c2b612331637,This app is easy to use and with the best quality,5
939b1172-deae-425d-89c6-d5cf68ea952f,Let's snap,4
d3e8fb43-7234-4413-b9e1-0bb9ad26aa0f,awsome,5
ad14123e-cb75-4086-94a6-e948a4a024bb,🥰🤮🤮🤮🤮🤮🤮🤢🤢🤢,1
12bba8b8-8b02-410f-8bba-88568c906f32,😘😘😘😘😘😘,5
a0d97ca4-8c61-44d7-b136-bb5f56b09350,Likelove,5
904c5056-e6e4-472b-b212-56be8a5b130b,Snapchat,5
ee847d9a-6a17-414b-84ab-316b6a5ab833,"Hassan, a, s",5
9ffda161-366b-4fed-9fa7-afaed9616fce,Martine carmin 089gmail com,5
66443939-ccd1-463a-a74b-540c894f1f2b,Ggy,1
bd3cacce-15d9-4451-8121-4f6359441f8c,Awesome,5
3aae1aaa-bba8-4ec7-99a2-484ebd2fa325,Rukmnai,5
799f2361-c03f-467f-822f-7cddb54eec02,😭,5
40128b1d-15ef-49ff-97db-c53eb3bc6814,❤️,5
8074f1ba-aab1-49df-be1c-10322c2a93b3,ठन,2
67955134-02f3-4649-9637-88c20d2ca587,Is the best,3
90e2f77d-c8c4-4c2f-b1d6-4e16c3685319,Sahi Se Kam Nahin kar raha hai is connected,2
df68e28b-cd72-461d-9a1b-62a1f85deede,Not opening the app after updating its closing automatically,1
73aabbf8-c146-4d64-80f3-474628011212,Nice,5
fe58ca2d-7efc-43bd-9784-ac2aba3bf9c9,Huuulll to,3
0f88d0d9-95f0-483e-bffd-e6aa691a769b,Good,5
8c6760f1-7641-42f1-b51b-efc3fc583d55,Varshini ch,5
ac6bfb0c-306e-4b16-afcb-2269c96cb08b,Nice-apic,5
215d5f71-56da-4de9-a5ca-ef7d8765bb09,Awesome app,5
b1117e84-cfc3-4b8d-8a4b-f178b05e84ab,Good,5
83c60e2b-b5ba-40c2-80eb-f52c19e69d9c,Worst ap some times i record some videos and when i edit videos the voice gone,1
09844165-a9eb-415b-808c-7ffd27813224,🔥🔥🔥,5
3c003946-5fc0-4a28-b0b3-459554e35933,Tt,3
d5e2ccdd-f73f-40d2-a23e-7d54cb6ed80d,I like Snapchat is the best,1
04c3e4ed-3287-48a8-8528-6d13ceb1d810,Very good,4
4e7e36bb-19e8-4968-811b-c5823dcbe7ea,Yh,1
473e38d4-1cdb-4c73-ad96-136161cffb57,v t,2
662bccae-60db-4179-a5e3-097310247f3e,"After download complete showing can,t instal solve this android Tecno spark 4 mobile",1
833dd64d-0ae4-4354-9152-f1b5092ba995,Now good,4
59cead46-8703-4f31-8364-296c024d4326,😭😭😭💋,5
3157908c-2219-499e-a48d-e2d4cb8a6f13,Nice,5
097919c3-319b-4eda-a8df-4c159454fafd,Nice appp,1
a6348a48-83e5-4870-9786-86c3d540460d,So bad app. I have maded 7accounts but again it is saying make new account.i don't want to give 1star at all. So poor app. Just wasteage of data. 😠😠😠😠😠😠😠😠😠 Please don't downloaded so bad app. Nothing to see people who see my recomment please don't downloaded this app. Please only wastage of data.,1
