reviewId,content,score
af5b2bd6-b467-41ff-bf5e-51ff3da65aef,⚡⚡⚡⚡⚡,5
d45c5a2c-37e5-419a-bc8d-b3113c061386,"Good expirience,",5
447138d0-54af-4466-ab0e-13fc36b4a711,"With last update, you can't select pictures like before, it shows all media but it is only viber folders, stupid and annoying solution.",1
c5fd8d5c-7094-4ae4-b9e7-59e4091948aa,Very good,5
e9ea12f0-bde1-4424-b533-f3115e7b816e,"Please fix this issue. Viber is our communication app for work and lately we are experiencing issue on viber. The names turns to user number thats why it's very hard to figure out who's messaging to us. Tried to uninstall but still experiencing issue. Please fix this issue. Thank you! Just an update, viber are already working properly and no encountered issue as of now. Thank you for hearing our demands 😂 Hands up to the Dev and ofcourse on Viber team 🥳 Cheers 🥂",5
f6209138-fcfc-43b6-b0f6-40111ca43a97,Viber is so frieken cool because their pics translate your feelings into pictures.... And we all know pictures speaks loader than a thousands words,5
e70e0c28-6a98-4aae-8b04-258b36b9ed54,its so good and also amazing,5
6820fa08-46fe-4c1d-81fb-f5233d552848,မိုးစက်မိုးစက်,5
461c007b-a328-4387-9a57-0731ac434a27,Chue Lay,5
3911594c-3739-469a-9b73-eacf9d42a327,something good,3
ae3ed29b-4677-450c-affa-860e1b4ad175,good so far,4
17e843e4-26c0-4d0f-b916-571574bcd56f,"There is a problem with the installation of the Viber desktop version for Windows 10, 64-bit. It could not be installed. Please check and fix this problem.",5
98f9fbf8-17a8-4efd-91b8-688edd96f16d,It hasn't more visible camera,5
ecab13dd-a0bf-43a5-82ff-f4e1a53d4904,good for everything,5
bd9ca939-8e20-4851-a4ce-df533ebf9eb0,Have friendly user interface but I don't like disappeared photos,3
092bb97f-4713-4abc-afb5-1d117cb72500,nice viber,4
d29c4fa5-ffe7-4356-852e-19cb411e5fc4,Awesome,5
7023e80d-1964-4d46-8737-d901c823101e,Nice application,5
38fd48f8-29b9-4d57-b11b-f1130d125dea,"Very bad usability , unstable work PC version",2
6e75ec57-8b0f-4921-9cdc-d3bf44a807d8,Does the job.,2
561c4220-65ba-4560-ab54-0be3b87378af,Ko Htun,5
0f2b7d30-d437-4c82-9964-3123e0d3fe8d,love Viber but please stop telling me there are new camera lenses to try every bloody day....,5
2e5f26eb-f66c-49e8-bda1-5e064e00ea31,Waste app,1
8cb09b6a-71e0-4eef-a7d5-6ea0fa876521,Tyy,5
2de4b060-f61d-4f60-98a6-182f5d8f546c,Happy,5
b7b36fa5-2463-4863-aceb-086a73e9173b,😐😐😐😐😐,1
ea994b0f-fad5-4ad6-b383-f1b4d90b1fec,Ok,5
76236b46-508a-4367-8186-e64bf8051305,Good,4
7ba0df45-7d2d-42dc-ae0e-158ad13edf9c,excellent,5
a666420d-2e71-4aef-8f18-66603c6241bf,"I got no issues on the older version but when i install latest version i already had an issue on making calls, my bluetooth headset won't work if once i'm in call. Can you please take action on this one because my headset works perfectly on my phone. Thank you.",1
d58f2bc7-b92b-412b-9cd6-7fa4e9c86eca,Good messaging app,5
26ec9627-159c-421b-a5cd-82a71887427e,Good using it apart from deleting old messages. It would be the nicest if old messages are kept.,5
03beb5f4-0365-46c1-92f7-760d5392fc81,Fine,5
2bc438b7-9771-4429-83b8-4ebc53be796c,Good,1
ecfa49b8-32e2-4428-ad5c-ce25aca403c1,Good,4
c24d2831-0661-46ab-abc5-b99e7bc141b4,There are occasional glitches.,4
2a961853-0b8a-4ce1-9d42-ffbdcd86528e,OK chha ta!!,5
9703e8c3-356a-46ae-ba43-a044e6fc1294,good,5
95e76549-e9af-447c-9499-b8948ef16d48,"No need for any other app, lovely",5
9e9dc741-4372-4488-90de-1a71c13a8342,nice,5
0e822af7-1935-4972-8161-ad6187eee290,I reach the limit in registering for the day but no code or call received,1
4b393773-5990-4382-b92a-300ab2f054b5,Great app for communication 👍,4
aef0eacc-6b62-45a4-9e05-bdde763800cf,good,4
57b781c0-92cc-42b7-b291-8fda2146af18,"Please, lessen the ads. I'd love to have some nice stickers, too. Thank you.",5
93486798-7970-407d-8128-d2b851b1ae29,very good,5
f0c4e959-9ac8-4b23-b748-bba463a0aca5,Good,5
d422dc23-7df7-4fe5-92f8-b3c170eea083,Excellent,5
a849ad90-efbe-4221-90bf-558f4890c476,error in sending codes,1
c323d6ce-5205-4115-9836-63aef9f01f0c,can't select pictures after the updates,1
729c62d4-85c3-484b-bd24-d0c2b280650e,Excellent app. How about making it add free with a charge?,5
27d3ac7a-57ba-4433-b32e-a501ee6f1131,Good,4
6a937b72-73a0-409d-af3c-b43ba30782d6,"A useless app overall. I cannot send messages to my friends (it doesn't deliver) and teachers but can only see them. I cannot call anyone and when tried it says ""Call failed"". The only messaging app that doesn't let you message. What an irony!",1
92186937-382f-4d39-8ad2-6e35a293a1a0,Cool stuff and stickers,4
70ab250d-8a82-4f0f-9b84-4a2dc2e5d07e,oklahoma,5
b21e13a4-beba-4940-a23c-2c56bdebf7d0,I can't stop video buffering when I click on tge picture. Also there is notification I can not remove. Friendly recomendation - dont fix it if it's not broken ;),1
8f5e1b24-8f6e-496d-a349-221210cd1331,Fantastic,5
204fded2-c2a9-4f1e-858f-a730165db9b8,"I purchased for a 1 month subscription to get world unlimited plan Coz i need to call my family abroad, and viber deduct me for 1month charge but sadly i cant make a call it shows i need to pay again and i try to pay 3times but still i cant make a call. Im so mad coz i stop my subscription on the same day and i ask for a refund but sadly i recieved an email that my refund is rejected, i really really mad viber deduct me 289pesos but i cant make call and also my refund is rejected what happend?",1
4181771f-83ab-4c59-bf15-aef2a7f4ccd5,Excellent love viber . Only think is that Viber takes lot of storage on your phone. Rest is fine. Love you vIber Cool Love you Viber .. You Awesome,5
a18a3e61-363b-480b-94d7-87ddf17e9a47,i like thanks u,4
3eebee0f-fe1f-4864-ba6a-a113a39fb9a1,When on speaker the device proximity sensors should be off by default. Going on setting and disabling them all the times is not good beacuse it goes both ways speaker or not,5
815d4007-b537-4dab-a5cf-0c1c027e5442,မိတ်ဆွေများနှင့်ဆက်သွယ်ရာတွင် အဆင်ပြေချောမွေ့လုံခြုံပါသည်။,5
